인증기업목록,,,,,,,,
,,,,,,,,
분류명,업체명,전화번호,기업주소,,,,,
[321] 화장지,(주)동방제지,02-578-0188,"경기도 하남시 하남대로622번길 85, 1층(창우동)",,,,,
[745] 블록·타일·판재류,(주)동보산업,031-354-8700,경기도 화성시 팔탄면 안산동길 50,,,,,
[745] 블록·타일·판재류,(주)동보씨앤비,031-886-8477,경기도 여주시 가남읍 은봉길 47-1,,,,,
[746] 골재 및 미분말,(주)동보이앤시,031-591-0012,"경기도 남양주시 호평로 57-2, 202호 (호평동)",,,,,
[243] 보온·단열재,(주)동부수지,031-357-0100,경기도 화성시 서신면 해운로458번길 46,,,,,
[724] 생분해성 수지 제품,(주)동성,061-832-1883,전라남도 고흥군 풍양면 풍남로 33-27,,,,,
[766] 종량제 쓰레기 봉투,(주)동성,061-832-1883,전라남도 고흥군 풍양면 풍남로 33-27,,,,,
[250] 창호 및 창호부속품,(주)동성기업,061-863-4655,전라남도 장흥군 장흥읍 흥성로 24,,,,,
[172] 가구,(주)동성나이키,02-734-2125,"서울특별시 구로구 구로중앙로 134, 4층(구로동, 리치몰)",,,,,
[724] 생분해성 수지 제품,(주)동성케미컬,02-6190-8713,부산광역시 사하구 신산로 99,,,,,
[250] 창호 및 창호부속품,(주)동수건설,061-725-8503,전라남도 순천시 백강로 266 (조례동),,,,,
[250] 창호 및 창호부속품,(주)동신건설,062-383-2250,전라남도 나주시 중앙로 45(성북동),,,,,
[743] 무기성 토목·건축 자재,(주)동신아스콘,054-638-2989,경상북도 영주시 장수면 용주로 551,,,,,
[321] 화장지,(주)동신제지,051-727-2621,부산광역시 기장군 정관읍 산단7로 89 (정관산업단지),,,,,
[246] 실내용 바닥 장식재,(주)동신포리마,041-630-6600,충청남도 홍성군 구항면 충서로966번길 41-66,,,,,
[244] 건설용 방수재,(주)동아방수,02-905-2222,"서울특별시 강북구 오현로32길 30-27, 3층(번동,낙원빌딩)",,,,,
[743] 무기성 토목·건축 자재,(주)동양,064-796-1451,제주특별자치도 제주시 한림읍 홀못길 94-40,,,,,
[246] 실내용 바닥 장식재,(주)동양목재,032-578-8121,인천광역시 서구 길무로 205 (오류동),,,,,
[250] 창호 및 창호부속품,(주)동양산업,063-626-9963,전라북도 남원시 시묘길 56-98 (노암동),,,,,
[241] 페인트,(주)동양이앤피,041-688-9971,충청남도 서산시 해미면 관터로 148-90,,,,,
[210] LED 등기구,(주)동양전기산업,031-322-6071,경기도 용인시 처인구 이동읍 화산로 79,,,,,
[250] 창호 및 창호부속품,(주)동양하우징,041-631-3069,충청남도 홍성군 구항면 구항길 114,,,,,
[241] 페인트,(주)동양후로아,032-541-1460,"경기도 부천시 소향로 203, 비동 201호 (중동,메트로펠리스1)",,,,,
[172] 가구,(주)동연디자인,02-3482-5250,"서울특별시 서대문구 연희로2길 76, 4층(창천동, 한빛빌딩 A동)",,,,,
[174] 사무용 칸막이,(주)동연디자인,02-3482-5250,"서울특별시 서대문구 연희로2길 76, 4층(창천동, 한빛빌딩 A동)",,,,,
[175] 의자,(주)동연디자인,02-3482-5250,"서울특별시 서대문구 연희로2길 76, 4층(창천동, 한빛빌딩 A동)",,,,,
[210] LED 등기구,(주)동영,053-263-3362,대구광역시 달성군 구지면 국가산단대로46길 112,,,,,
[606] 포장재,(주)동영화학,032-613-7927,경기도 부천시 길주로444번길 42 (춘의동),,,,,
[305] 다목적 세정제,(주)동우씨엠,02-2244-6697,"서울특별시 광진구 능동로 246 (능동,3층)",,,,,
[321] 화장지,(주)동우씨엠,02-2244-6697,"서울특별시 광진구 능동로 246 (능동,3층)",,,,,
[322] 방향제,(주)동우씨엠,02-2244-6697,"서울특별시 광진구 능동로 246 (능동,3층)",,,,,
[241] 페인트,(주)동우켐,043-834-7100,충청북도 괴산군 불정면 쇠실로 425,,,,,
[606] 포장재,(주)동우화학,031-336-7606,경기도 용인시 처인구 모현읍 초부로107번길 8,,,,,
[721] 합성수지 제품,(주)동원파이프,031-531-5577,경기도 포천시 신북면 호국로2472번길 18,,,,,
[721] 합성수지 제품,(주)동원프라스틱,063-858-8335,전라북도 익산시 삼기농공단지길 6-37,,,,,
[243] 보온·단열재,(주)동인산업,031-684-0070,경기도 평택시 오성면 오성북로 143,,,,,
[243] 보온·단열재,(주)동일수지,033-734-8560,강원도 원주시 문막읍 문막공단길 95,,,,,
[250] 창호 및 창호부속품,(주)동일알루윈,070-4274-3303,경기도 광주시 도척면 국사봉로 39-19,,,,,
[210] LED 등기구,(주)동일이엔티,061-333-7800,전라남도 나주시 황동3길 7-35,,,,,
[724] 생분해성 수지 제품,(주)동일프라텍,031-941-9941,경기도 파주시 적성면 적성산단2로 16-5,,,,,
[721] 합성수지 제품,(주)동주,031-655-2213,경기도 평택시 서탄면 수월암4길 204,,,,,
[265] 발광다이오드 전광판,(주)동진이앤티,02-585-3565,"서울특별시 구로구 디지털로30길 31, 1301호(구로동, 코오롱디지털타워빌란트2차)",,,,,
[265] 발광다이오드 전광판,(주)동진파워텍,033-575-3565,"강원도 삼척시 중앙로 346, 306호 창업보육센터(교동, 강원대학교삼척캠퍼스)",,,,,
[243] 보온·단열재,(주)동천,031-681-2400,경기도 평택시 오성면 오성북로 145,,,,,
[726] 목재.합성수지 복합 성형 제품,(주)동하,031-541-0743,경기도 포천시 가산면 방산길 69,,,,,
[483] 침대,(주)동해,031-942-4488,경기도 파주시 월롱면 용상골길 44-58,,,,,
[608] 탈취제,(주)동화미생물연구소,043-731-8166,충청북도 옥천군 옥천읍 옥천동이로 387-61,,,,,
[743] 무기성 토목·건축 자재,(주)두남환경,055-532-5700,경상남도 창녕군 대지면 우포1대로 1218,,,,,
[724] 생분해성 수지 제품,(주)두레,031-638-7976,경기도 이천시 호법면 중부대로866번길 39,,,,,
[225] 수도 계량기,(주)두레콤,031-412-4033,경기도 안산시 단원구 목내로119번길 13 (목내동),,,,,
[210] LED 등기구,(주)두리라이팅,042-626-2246,"대전광역시 대덕구 대전로 1271, 4층(대화동)",,,,,
[743] 무기성 토목·건축 자재,(주)두리로드,063-322-3011,전라북도 무주군 무주읍 원용포길 43,,,,,
[241] 페인트,(주)두리피앤에스,032-815-6411,"인천광역시 남동구 능허대로 759 (고잔동, 남동공단 159B9L)",,,,,
[223] 대변기,(주)두성,031-981-0881,경기도 김포시 대곶면 불당로 93,,,,,
[228] 소변기,(주)두성,031-981-0881,경기도 김포시 대곶면 불당로 93,,,,,
[746] 골재 및 미분말,(주)두성기업,031-866-0557,경기도 동두천시 삼육사로652번길 35(상패동),,,,,
[210] LED 등기구,(주)두성전기,031-997-4675,"경기도 김포시 통진읍 서암고정로 39(,41)",,,,,
[252] 장식용 합성수지 시트,(주)두성코리아,031-871-2321,충청북도 음성군 삼성면 대성로 438-50,,,,,
[246] 실내용 바닥 장식재,(주)두앤비,031-8089-7070,경기도 포천시 영중면 호국로 3295-31,,,,,
[241] 페인트,(주)두온에너지원,02-3407-1800,"서울특별시 동대문구 장한로 18, 405호(장안동, 4층)",,,,,
[241] 페인트,(주)드림인디자인,031-572-0744,"서울특별시 구로구 공원로 3, 1802호 (구로동,선경오피스텔)",,,,,
[250] 창호 및 창호부속품,(주)디딤디앤씨,02-3142-4888,"서울특별시 마포구 월드컵북로6길 37(연남동,3층)",,,,,
[221] 수도꼭지,(주)디아,031-618-7591,경기도 안성시 공도읍 고무다리길 73-15,,,,,
[766] 종량제 쓰레기 봉투,(주)디아이,033-644-8981,"강원도 강릉시 주문진읍 농공단지길 28-13, 1층",,,,,
[242] 벽지,(주)디아이디,02-2141-3914,"서울특별시 강남구 봉은사로 327(논현동, 궁도빌딩10~13층)",,,,,
[225] 수도 계량기,(주)디알텍,031-412-4014,경기도 안산시 단원구 목내로119번길 13 (목내동),,,,,
[745] 블록·타일·판재류,(주)디앤디에코텍,043-218-6011,충청북도 청주시 상당구 미원면 단재로 2800,,,,,
[210] LED 등기구,(주)디앤알라이팅,032-886-0300,"인천광역시 중구 축항대로296번길 60-35 , 2층(신흥동3가)",,,,,
[210] LED 등기구,(주)디앤지라이텍,02-6415-2070,"경기도 군포시 고산로148번길 17,에이-1604호(당정동,군포IT밸리)",,,,,
[243] 보온·단열재,(주)디에이치나노텍,02-2208-2736,경기도 포천시 해룡로 83-99 (설운동),,,,,
[765] 소화기,(주)디에프,031-677-0572,경기도 안성시 미양면 미양로 432-15,,,,,
[210] LED 등기구,(주)디에프코리아,032-528-2953,"인천광역시 부평구 평천로199번길 53, 에이동 2층(청천동)",,,,,
[250] 창호 및 창호부속품,(주)디엔건설산업,041-751-7504,충청남도 금산군 복수면 복수로 782-3,,,,,
[241] 페인트,(주)디엔씨,055-346-0192,경상남도 김해시 진영읍 김해대로 118-51,,,,,
[250] 창호 및 창호부속품,(주)디엘시스템,063-242-0258,전라북도 완주군 소양면 잠평1길 90-5,,,,,
[210] LED 등기구,(주)디엘아이엔지,032-502-5067,"경기도 부천시 석천로 397 ,101동 1211호(삼정동, 부천테크노파크쌍용3차)",,,,,
[210] LED 등기구,(주)디오씨,032-764-3500,"인천광역시 중구 우현로72번길 6 (용동,2층)",,,,,
[210] LED 등기구,(주)디오전자,031-339-8680,경기도 용인시 처인구 포곡읍 부곡로 166,,,,,
[608] 탈취제,(주)디오티큐,031-381-4444,"경기도 안양시 만안구 양화로148번길 15, B01호 (박달동)",,,,,
[241] 페인트,(주)디오페인트,042-935-8926,대전광역시 유성구 테크노8로 41(용산동),,,,,
[744] 슬래그 가공 제품,(주)디와이산업,055-391-5750,경상남도 밀양시 초동면 초동농공단지길 23-26,,,,,
[723] 목재 성형제품,(주)디울,055-353-9939,경상남도 밀양시 추화산성길 34-15,,,,,
[210] LED 등기구,(주)디자인라이팅,042-489-7784,"대전광역시 유성구 동서대로179번길 61, 3층(덕명동, 예가빌딩)",,,,,
[245] 투수 콘크리트 제품,(주)디자인블록,063-723-2929,"전라북도 익산시 함열읍 익산대로 1547-17, 1층",,,,,
[745] 블록·타일·판재류,(주)디자인블록,063-723-2929,"전라북도 익산시 함열읍 익산대로 1547-17, 1층",,,,,
[172] 가구,(주)디자인칼라스,031-948-6233,경기도 파주시 소라지로 42-15 (연다산동),,,,,
[210] LED 등기구,(주)디케이,031-984-3115,경기도 김포시 대곶면 대명항로 222-22,,,,,
[246] 실내용 바닥 장식재,(주)디케이(DK) 카페트,031-942-6779,경기도 파주시 월롱면 홀작로 70-178,,,,,
[210] LED 등기구,(주)디케이조명,032-576-8356,인천광역시 서구 장고개로168번길 52 (가좌동),,,,,
[603] 산업용 축전지,(주)디티알 오토모티브,--,울산광역시 울주군 온산읍 처용산업2길 12,,,,,
[721] 합성수지 제품,(주)디피아이,031-533-5817,경기도 포천시 내촌면 금강로 3113-23,,,,,
[210] LED 등기구,(주)딜라이트,053-983-3588,"대구광역시 동구 팔공로53길 137, 나동(봉무동)",,,,,
[210] LED 등기구,(주)라눅스,033-261-0047,"강원도 춘천시 퇴계공단1길 56-9(퇴계동, B동(퇴계농공단지내))",,,,,
[745] 블록·타일·판재류,(주)라미그린텍,041-856-7275,충청남도 공주시 차령로 2045 (송선동),,,,,
[244] 건설용 방수재,(주)라온이엔지,031-764-0728,"경기도 광주시 경충대로 1897, 2층(장지동)",,,,,
[311] 의류,(주)라온케이디,02-953-3320,서울특별시 동대문구 천호대로 57(용두동),,,,,
[244] 건설용 방수재,(주)라온피플인더스트리,031-402-7475,"경기도 안산시 상록구 원당골1길 13, 2동203층(수암동)",,,,,
[172] 가구,(주)라이브러리엔,031-573-5021,"경기도 남양주시 오남읍 진건오남로929번길 6-9, 다동(주3)",,,,,
[330] 디아이와이용 페인트,(주)라이브어스텍,063-465-2506,전라북도 군산시 무역로 62,,,,,
[209] 일반조명용 LED 램프,(주)라이트온,070-4457-3701,"경기도 부천시 석천로 397, 103동 903호, 904호 (삼정동, 부천테크노파크쌍용3차)",,,,,
[210] LED 등기구,(주)라이트온,070-4457-3701,"경기도 부천시 석천로 397, 103동 903호, 904호 (삼정동, 부천테크노파크쌍용3차)",,,,,
[246] 실내용 바닥 장식재,(주)라이프엘앤케이,031-573-8923,경기도 남양주시 진접읍 양진로 683-5,,,,,
[727] 바이오매스 합성수지 제품,(주)락앤락,02-520-9843,"서울특별시 서초구 서초대로38길 12, 10층(서초동, 마제스타시티타워2)",,,,,
[265] 발광다이오드 전광판,(주)래도,031-596-6880,"경기도 안양시 동안구 학의로 250 (관양동, 관양두산벤처다임 706호~707호)",,,,,
[606] 포장재,(주)래딕스글로비즈,02-703-0399,"서울특별시 마포구 마포대로 86 (도화동, 참강빌딩)",,,,,
[727] 바이오매스 합성수지 제품,(주)래딕스글로비즈,02-703-0399,"서울특별시 마포구 마포대로 86 (도화동, 참강빌딩)",,,,,
[303] 주방용 세제,(주)랜드마크코리아,031-946-5060,경기도 파주시 광탄면 장지산로368번길 25-11,,,,,
[304] 업소용 식기세척기용 세제,(주)랜드마크코리아,031-946-5060,경기도 파주시 광탄면 장지산로368번길 25-11,,,,,
[305] 다목적 세정제,(주)랜드마크코리아,031-946-5060,경기도 파주시 광탄면 장지산로368번길 25-11,,,,,
[721] 합성수지 제품,(주)랜드피엔피,031-533-4055,경기도 포천시 군내면 반월산성로375번길 20,,,,,
[248] 벽 및 천장 마감재,(주)레고리스,031-998-5550,경기도 김포시 대곶면 송마로 129-10,,,,,
[210] LED 등기구,(주)레드,054-788-3000,"경상북도 울진군 평해읍 평오곡길 51-31, 1층",,,,,
[144] 개인용 컴퓨터,(주)레드스톤시스템,02-713-0863,"서울특별시 용산구 독서당로 46, B106-103호 (한남동,한남아이파크)",,,,,
[147] 컴퓨터용 모니터,(주)레드스톤시스템,02-713-0863,"서울특별시 용산구 독서당로 46, B106-103호 (한남동,한남아이파크)",,,,,
[210] LED 등기구,(주)레디아,031-687-8738,경기도 안산시 단원구 진흥로10번길 49 2층(성곡동),,,,,
[210] LED 등기구,(주)레딕스,042-671-3716,대전광역시 대덕구 문평서로 8-24 (문평동),,,,,
[210] LED 등기구,(주)레젠,031-715-7788,경기도 용인시 처인구 이동읍 백자로166번길 6-3,,,,,
[241] 페인트,(주)로드데코,055-265-9887,"경상남도 창원시 성산구 상남로 35 , 5층 (상남동,새롬아이포빌518호))",,,,,
[241] 페인트,(주)로드마스터,061-332-2170,"전라남도 나주시 그린로 317-15, 201호(빛가람동,아디디빌딩)",,,,,
[241] 페인트,(주)로드텍,061-722-9878,전라남도 광양시 광양읍 희양현로 87,,,,,
[745] 블록·타일·판재류,(주)로드텍,063-241-3800,전라북도 전주시 덕진구 아중로 207 2층(우아동2가),,,,,
[265] 발광다이오드 전광판,(주)로스텍,043-232-5770,충청북도 청주시 청원구 주중로 4 (주중동),,,,,
[315] 침구류,(주)로얄라이프,02-2672-2003,"서울특별시 영등포구 선유로33길 15, 7층 704호(양평동3가, 에이스타워)",,,,,
[606] 포장재,(주)로엔그린,070-7460-2020,경기도 김포시 하성면 애기봉로 750,,,,,
[248] 벽 및 천장 마감재,(주)로자,02-566-7663,경상북도 경산시 압량면 내리길19길 43,,,,,
[210] LED 등기구,(주)루나,055-352-3937,"경상남도 밀양시 교동로5길 24, 1동(교동)",,,,,
[210] LED 등기구,(주)루멘에어텍,031-632-0332,"경기도 화성시 동탄기흥로 570-6, 322호(영천동, 골든아이타워)",,,,,
[210] LED 등기구,(주)루멘테크,031-707-7993,"경기도 성남시 분당구 판교로 700, D동907호",,,,,
[210] LED 등기구,(주)루미라이팅,053-812-0091,"경상남도 창원시 성산구 용지로169번길 11-14, 1015호(용호동)",,,,,
[210] LED 등기구,(주)루스테크놀로지,032-578-6726,"인천광역시 부평구 안남로434번길 57, 5층(청천동)",,,,,
[210] LED 등기구,(주)루텍,031-946-3280,경기도 파주시 조리읍 정문로 96 (주)루텍,,,,,
[767] 음식쓰레기 감량화 기기,"(주)루펜(Loofen Co., Ltd)",031-8084-3724,"경기도 의왕시 이미로 40, 제씨동 9층 제씨916호(포일동, 인덕원아이티밸리)",,,,,
[174] 사무용 칸막이,(주)류씨은,032-864-0400,인천광역시 강화군 불은면 덕진로 262-1,,,,,
[724] 생분해성 수지 제품,(주)리그라운드,02-2275-6741,"서울특별시 중구 동호로 387-2, 1,3,5층(방산동)",,,,,
[244] 건설용 방수재,(주)리뉴시스템,02-414-0700,"서울특별시 마포구 성암로 189, 405호(상암동, DMC 타워)",,,,,
[257] 인조 잔디 및 인조 잔디 구성 부품,(주)리드스포텍,031-981-9927,경기도 김포시 대곶면 대곶남로 87-76,,,,,
[210] LED 등기구,(주)리드원,031-8068-8013,"충청남도 천안시 서북구 2공단2로 95, 203호(차암동, 천안테크노타운)",,,,,
[210] LED 등기구,(주)리드조명,053-357-1470,"대구광역시 달성군 구지면 국가산단대로50길 113, B동",,,,,
[254] 장식용 섬유 제품,(주)리디아,031-796-3192,충청북도 괴산군 괴산읍 충민로검승4길 39,,,,,
[322] 방향제,(주)리빙인아로마,031-851-0999,경기도 양주시 광적면 광적로 189-1,,,,,
[250] 창호 및 창호부속품,(주)리엘,051-717-0239,부산광역시 기장군 정관읍 예림1로 102 (주) 리엘,,,,,
[724] 생분해성 수지 제품,(주)리와인드,--07042175366,"서울특별시 강남구 선릉로93길 40, 소셜벤처허브 407호(역삼동)",,,,,
[210] LED 등기구,(주)리치룩스,062-224-3333,광주광역시 북구 첨단벤처로28번길 7(대촌동),,,,,
[141] 복사기,(주)리코코리아,02-3677-1011,"서울특별시 강남구 봉은사로 179, 13층(논현동, H타워)",,,,,
[241] 페인트,(주)리콘,061-395-1140,"전라남도 장성군 장성읍 단풍로 190, 2층",,,,,
[606] 포장재,(주)리페이퍼,02-6952-7896,"경기도 안산시 상록구 한양대학로 55, 5층 509,510호(사동,산학연협력관)",,,,,
[144] 개인용 컴퓨터,(주)리퓨터,063-253-3336,"전라북도 전주시 덕진구 원장동길 111-18, 401호 (장동)",,,,,
[210] LED 등기구,(주)릴테크,061-723-1113,전라남도 순천시 해룡면 해광로 519,,,,,
[259] 건축용 실링재,(주)마가켐,043-537-5677,충청북도 진천군 덕산면 신척산단5로 130,,,,,
[727] 바이오매스 합성수지 제품,(주)마더케이,031-704-1025,"경기도 성남시 분당구 판교로 253, B동901호(삼평동, 판교 이노밸리)",,,,,
[210] LED 등기구,(주)마루라이팅,031-375-6611,"경기도 화성시 동탄산단6길 3, 4층(방교동)",,,,,
[246] 실내용 바닥 장식재,(주)마루몰플러스,02-448-5700,경기도 하남시 감초로 185-40 (초이동),,,,,
[606] 포장재,(주)마린이노베이션,052-247-0582,"울산광역시 울주군 청량읍 처용산업3길 135, 경공업2동 2층",,,,,
[264] 소방용 스프링클러헤드,(주)마스테코인천공장,02-785-1301,인천광역시 남동구 앵고개로490번길 173 146블럭13로트,,,,,
[721] 합성수지 제품,(주)만평산업,054-777-2336,경상북도 경주시 천북면 천북로 188,,,,,
[210] LED 등기구,(주)말타니,02-555-0500,"서울특별시 강남구 역삼로 431 (대치동, 태원빌딩 3층)",,,,,
[102] 사무용지,(주)맑은기업,052-277-7773,"울산광역시 중구 동천1길 40, C동 1104호(서동, 세영이노세븐지식산업센터)",,,,,
[210] LED 등기구,(주)매그나텍,061-392-5508,전라남도 장성군 동화면 전자농공단지2길 55,,,,,
[241] 페인트,(주)맥도,070-7841-4900,"경기도 구리시 건원대로34번길 19, 3층 309(인창동,세신훼미리타운)",,,,,
[144] 개인용 컴퓨터,(주)맥스컴,031-739-3582,"경기도 성남시 중원구 둔촌대로 494, 비동 3층(상대원동, (주)코맥스)",,,,,
[246] 실내용 바닥 장식재,(주)메라톤,032-723-7719,"인천광역시 남동구 남동대로79번길 54, 122-11(고잔동,남동공단)",,,,,
[325] 완구,(주)메리스랩,070-4353-6762,경기도 광주시 초월읍 도평길110번길 28,,,,,
[606] 포장재,(주)메이그린,031-566-7025,경기도 포천시 소흘읍 죽엽산로167번길 51-56,,,,,
[727] 바이오매스 합성수지 제품,(주)메이그린,031-566-7025,경기도 포천시 소흘읍 죽엽산로167번길 51-56,,,,,
[172] 가구,(주)멘퍼스,062-941-3030,광주광역시 광산구 평동산단로 239-10,,,,,
[483] 침대,(주)멘퍼스,062-941-3030,광주광역시 광산구 평동산단로 239-10,,,,,
[246] 실내용 바닥 장식재,(주)멜텍,032-815-0271,"인천광역시 남동구 앵고개로653번길 52(고잔동,남동공단 112B-8L)",,,,,
[250] 창호 및 창호부속품,(주)명가,043-882-8181,충청북도 음성군 생극면 생삼로207번길 3,,,,,
[210] LED 등기구,(주)명도산업조명,031-989-3868,경기도 김포시 대곶면 대곶서로 314-52,,,,,
[250] 창호 및 창호부속품,(주)명서윈시스,02-6415-5400,경기도 이천시 설성면 설가로 13,,,,,
[172] 가구,(주)명성산업,043-232-9800,충청북도 청주시 흥덕구 강내면 황탄리길 35,,,,,
[246] 실내용 바닥 장식재,(주)명성산업,043-232-9800,충청북도 청주시 흥덕구 강내면 황탄리길 35,,,,,
[248] 벽 및 천장 마감재,(주)명신기업,031-366-0439,경기도 화성시 정남면 서봉로851번길 85-13,,,,,
[721] 합성수지 제품,(주)명신수도,061-762-0355,전라남도 광양시 광양읍 익신산단1길 14,,,,,
[210] LED 등기구,(주)명신전자,031-467-3698,"경기도 화성시 팔탄면 서해로987번길 15, 1동 220호 (발안유통공구상가)",,,,,
[606] 포장재,(주)명진산업,031-498-0271(236),"경기도 시흥시 공단2대로 147 (정왕동, 시화공단 2마708호)",,,,,
[241] 페인트,(주)명진화학,055-337-3840,경상남도 김해시 주촌면 서부로1637번길 115-21,,,,,
[745] 블록·타일·판재류,(주)명화콘크리트,031-351-9662,경기도 화성시 장안면 덕다길50번길 29,,,,,
[321] 화장지,(주)모나리자,02-829-8841,"서울특별시 동작구 보라매로5길 15 (신대방동, 전문건설회관 21층)",,,,,
[246] 실내용 바닥 장식재,(주)모노,032-763-1323,"인천광역시 중구 개항로 33, 2층 (내동)",,,,,
[606] 포장재,(주)모닝터치,031-532-8686,경기도 포천시 소흘읍 응골1길 37,,,,,
[724] 생분해성 수지 제품,(주)모닝터치,031-532-8686,경기도 포천시 소흘읍 응골1길 37,,,,,
[246] 실내용 바닥 장식재,(주)모던우드,032-816-3400,경기도 이천시 백사면 원적로 944,,,,,
[174] 사무용 칸막이,(주)모빌퍼스,053-341-0088,경상북도 경산시 진량읍 공단4로 132,,,,,
[242] 벽지,(주)모젤디앤에스,043-838-8537,충청북도 진천군 초평면 초평로 1222-15,,,,,
[172] 가구,(주)목림,061-381-0056,전라남도 담양군 금성면 금성공단길 90,,,,,
[303] 주방용 세제,(주)무궁화,031-869-7051,경기도 동두천시 갈마지길 173 (상패동),,,,,
[305] 다목적 세정제,(주)무궁화,031-869-7051,경기도 동두천시 갈마지길 173 (상패동),,,,,
[306] 섬유유연제,(주)무궁화,031-869-7051,경기도 동두천시 갈마지길 173 (상패동),,,,,
[307] 액상 세탁용 세제,(주)무궁화,031-869-7051,경기도 동두천시 갈마지길 173 (상패동),,,,,
[241] 페인트,(주)무량기술,031-227-7466,"경기도 화성시 기배로 190, 1층 101호(배양동)",,,,,
[745] 블록·타일·판재류,(주)무림콘크리트,054-832-3881,경상북도 의성군 봉양면 경북대로 4443-10,,,,,
[250] 창호 및 창호부속품,(주)문창산업,054-541-7898,경상북도 상주시 함창읍 영동길 9-33,,,,,
[250] 창호 및 창호부속품,(주)문테크,043-653-9181,충청북도 제천시 내토로73길 28 (고암동),,,,,
[210] LED 등기구,(주)문화전기,032-675-2777,경기도 부천시 옥산로 210 (도당동),,,,,
[210] LED 등기구,(주)뭉클,053-383-9500,대구광역시 북구 검단로31길 71-11(검단동),,,,,
[210] LED 등기구,(주)미강조명,031-312-0453,경기도 시흥시 방아다리길 7-8(대야동),,,,,
[210] LED 등기구,(주)미광엔텍,054-223-2400,"경상북도 포항시 남구 지곡로 394, 106호, 201호(지곡동, 포항테크노파크 제1벤처동)",,,,,
[257] 인조 잔디 및 인조 잔디 구성 부품,(주)미도플러스,031-623-6235,"경기도 안양시 동안구 벌말로 126, 3205호 (관양동, 평촌오비즈타워)",,,,,
[303] 주방용 세제,(주)미라클코리아,031-544-0266,경기도 포천시 소흘읍 고모루성길 77,,,,,
[743] 무기성 토목·건축 자재,(주)미래,061-337-9070,전라남도 나주시 다도면 다남로 190,,,,,
[210] LED 등기구,(주)미래솔라엘이디,063-843-4311,"전라북도 익산시 동서로 370, 307호 (영등동, 익산종합비지니스센터)",,,,,
[721] 합성수지 제품,(주)미래인더스트리,054-932-4355,경상북도 김천시 어모면 산업단지6로 52,,,,,
[703] 태양전지 및 자가발전 장치 사용 제품,(주)미래테크,051-941-5821,부산광역시 강서구 미음산단4로62번길 13(미음동),,,,,
[250] 창호 및 창호부속품,(주)미래플러스,054-554-3077,경상북도 문경시 산양면 산양공단1길 19-45,,,,,
[722] 고무제품,(주)미로드,02-857-1869,"대구광역시 달서구 달구벌대로 1524, 4층(감상동)",,,,,
[221] 수도꼭지,(주)미륭티엔지,031-762-7566,"경기도 성남시 중원구 둔촌대로 388, 413호(상대원동, 크란츠테크노)",,,,,
[241] 페인트,(주)미방코팅,031-323-5998,"대구광역시 달성군 논공읍 비슬로 1556, 2층",,,,,
[321] 화장지,(주)미선,031-963-6103,경기도 고양시 일산동구 견달산로225번길 26-66 가동(식사동),,,,,
[248] 벽 및 천장 마감재,(주)미성코데코,053-817-1690,경상북도 경산시 압량면 용암길 43,,,,,
[724] 생분해성 수지 제품,(주)미스터팩,031-999-4979,"경기도 김포시 양촌읍 황금로 117, 나동 144호(메카존)",,,,,
[744] 슬래그 가공 제품,(주)미창,043-423-9600,충청북도 단양군 어상천면 의병대로 1286-23,,,,,
[248] 벽 및 천장 마감재,(주)민에코,031-631-2283,경기도 이천시 모가면 공원로 210-1,,,,,
[723] 목재 성형제품,(주)민에코,031-631-2283,경기도 이천시 모가면 공원로 210-1,,,,,
[766] 종량제 쓰레기 봉투,(주)믿음을주는나무,054-481-2822,경상북도 구미시 고아읍 파산2길 56,,,,,
[743] 무기성 토목·건축 자재,(주)바나,061-684-7066,전라남도 여수시 여수산단로 203 (월하동),,,,,
[764] 전지,(주)바스맨테크놀러지,070-8230-2998,"경기도 하남시 조정대로 150, 660호(덕풍동, 아이테코)",,,,,
[606] 포장재,(주)바우에코팩,043-846-7781,충청북도 충주시 신니면 덕고개로 298,,,,,
[210] LED 등기구,(주)바이더엠,070-4855-1284,"인천광역시 계양구 서운산단로1길 63, 4층(서운동)",,,,,
[606] 포장재,(주)바이오마스터,02-525-9515,"서울특별시 서초구 서운로 13, 1701호 (서초동, 중앙로얄오피스텔)",,,,,
[608] 탈취제,(주)바이오버스,02-2249-3700,"경기도 성남시 분당구 백현로 97, 1212호 (수내동, 수내동 다운타운)",,,,,
[606] 포장재,(주)바이오소재,02-6238-6284,"경기도 부천시 지봉로 43 (역곡동,카톨릭대창업보육센터305호,306호)",,,,,
[244] 건설용 방수재,(주)바이오크리트,031-859-1296,"경기도 양주시 은현면 운하로101번길 166-85, 가동",,,,,
[608] 탈취제,(주)바이탈오투,02-402-9400,"서울특별시 송파구 송파대로 366-9, 에프층 112호 (송파동, 그린빌)",,,,,
[251] 접착제,(주)바커케미칼코리아,043-537-0714,충청북도 진천군 덕산읍 산수산단1로 13-71,,,,,
[259] 건축용 실링재,(주)바커케미칼코리아,043-537-0714,충청북도 진천군 덕산읍 산수산단1로 13-71,,,,,
[311] 의류,(주)반도아이엔씨,02-512-3172,"서울특별시 강남구 학동로33길 24(논현동, 정우빌딩3층)",,,,,
[210] LED 등기구,(주)반디룩스,032-624-0391,"경기도 부천시 석천로 397, 부천테크노파크쌍용3차 301동 1001호 (삼정동)",,,,,
[250] 창호 및 창호부속품,(주)반석,033-651-6805,강원도 강릉시 구정면 칠성로 7,,,,,
